ENTIDAD FEDERATIVA,FACULTAD O ESCUELA DE MEDICINA,SUSTENTANTES,SELECCIONADOS,PROMEDIO GENERAL,AGNO
JALISCO,UNIVERSIDAD DEL VALLE DE ATEMAJAC,53,12,62.32,2017
JALISCO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD ZAPOPAN,71,14,63.45,2017
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR,39,2,56.48,2017
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR UNIDAD INGLATERRA,361,62,60.78,2017
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD MORELIA,1898,347,59.89,2017
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD ZAMORA,58,13,62.86,2017
MICHOACAN,UNIVERSIDAD VASCO DE QUIROGA CAMPUS SANTA MARIA,81,6,58.92,2017
MORELOS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,283,78,65.7,2017
MORELOS,UNIVERSIDAD LATINOAMERICANA,136,19,58.72,2017
NAYARIT,UNIVERSIDAD AUTONOMA DE NAYARIT,392,87,62.67,2017
NUEVO LEON,INSTITUTO TECNOLOGICO Y ESTUDIOS SUPERIORES DE MONTERREY,239,90,69.4,2017
NUEVO LEON,UNIVERSIDAD AUTONOMA DE NUEVO LEON,1252,442,66.48,2017
NUEVO LEON,UNIVERSIDAD DE MONTERREY,307,99,67.51,2017
NUEVO LEON,UNIVERSIDAD MONTEMORELOS,120,39,64.77,2017
OAXACA,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,764,144,60.9,2017
OAXACA,UNIVERSIDAD REGIONAL DEL SURESTE,393,48,58.51,2017
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,1491,251,60.04,2017
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA UNIDAD TEHUACAN,127,16,58.52,2017
PUEBLA,INSTITUTO DE ESTUDIOS SUPERIORES DE TEPEACA,33,2,54.08,2017
PUEBLA,UNIVERSIDAD LAS AMERICAS PUEBLA,28,6,65.23,2017
PUEBLA,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,861,175,62.38,2017
QUERETARO,UNIVERSIDAD AUTONOMA DE QUERETARO,201,71,69.05,2017
QUERETARO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD QUERETARO,165,30,63.48,2017
QUINTANA ROO,UNIVERSIDAD DE QUINTANA ROO,128,22,60.45,2017
SAN LUIS POTOSI,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,200,104,70.93,2017
SAN LUIS POTOSI,UNIVERSIDAD CUAUHTEMOC PLANTEL SAN LUIS POTOSI,54,10,66.43,2017
SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,1116,316,61.76,2017
SONORA,UNIVERSIDAD DE SONORA,288,95,66.69,2017
SONORA,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS HERMOSILLO,73,20,64.93,2017
TABASCO,UNIVERSIDAD AUTONOMA DE GUADALAJARA UNIDAD TABASCO,191,35,62.1,2017
TABASCO,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS VILLAHERMOSA,57,4,59.2,2017
TABASCO,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,477,64,57.27,2017
TABASCO,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO DIVISION ACADEMICA,170,13,55.9,2017
TABASCO,UNIVERSIDAD OLMECA,43,5,58.97,2017
TAMAULIPAS,INSTITUTO DE CIENCIAS Y ESTUDIOS SUPERIORES DE TAMAULIPAS,82,10,56.41,2017
TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS UNIDAD TAMPICO,318,86,63.52,2017
TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS UNIDAD MATAMOROS,341,76,60.42,2017
TAMAULIPAS,UNIVERSIDAD DEL NORESTE,518,92,59.59,2017
TAMAULIPAS,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS CIUDAD REYNOSA,54,9,60.59,2017
TAMAULIPAS,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS CIUDAD VICTORIA,116,12,57.8,2017
TAMAULIPAS,UNIVERSIDAD LA SALLE CAMPUS CIUDAD VICTORIA,80,14,62.36,2017
TAMAULIPAS,UNIVERSIDAD MEXICO AMERICANA DEL NORTE,64,6,55.17,2017
TAMAULIPAS,UNIVERSIDAD VALLE DEL BRAVO UNIDAD CIUDAD VICTORIA,31,6,56.75,2017
TAMAULIPAS,UNIVERSIDAD VALLE DEL BRAVO UNIDAD REYNOSA,9,2,58.45,2017
TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,458,57,56.89,2017
VERACRUZ,UNIVERSIDAD AUTONOMA DE VERACRUZ VILLA RICA,251,47,61.43,2017
VERACRUZ,UNIVERSIDAD CRISTOBAL COLON UNIDAD VERACRUZ,151,16,58.76,2017
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD CIUDAD MENDOZA,318,47,59.11,2017
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD MINATITLAN,155,35,62.77,2017
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD JALAPA,335,85,63.47,2017
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD POZA RICA,154,39,63.19,2017
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD VERACRUZ,356,73,61.71,2017
YUCATAN,UNIVERSIDAD AUTONOMA DE YUCATAN,301,91,66.43,2017
YUCATAN,UNIVERSIDAD DEL MAYAB,201,39,63.86,2017
ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,619,136,62.36,2017
NONE,ESTUDIOS EN EL EXTRANJERO,197,24,58.87,2017
NONE,MEDICOS EXTRANJEROS,1233,217,61.58,2017
AGUASCALIENTES,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,263,116,65.701,2015
AGUASCALIENTES,UNIVERSIDAD CUAHUTEMOC,59,8,59.141,2015
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD ENSENADA,262,50,59.548,2015
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD TIJUANA,128,22,60.38,2015
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD ENSENADA,107,38,63.408,2015
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD MEXICALI,242,95,65.275,2015
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD TIJUANA,205,58,64.524,2015
CAMPECHE,UNIVERSIDAD AUTONOMA DE CAMPECHE,206,33,58.862,2015
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS,27,3,55.77,2015
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TAPACHULA,68,4,53.765,2015
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TUXTLA GUTIERREZ,280,23,54.196,2015
CHIAPAS,UNIVIVERSIDAD AUTONOMA DE CHIAPAS,554,110,61.042,2015
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,379,79,59.203,2015
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,290,121,66.766,2015
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD SALTILLO,112,60,66.982,2015
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD TORREON,184,79,64.473,2015
COAHUILA,UNIVERSIDAD DEL VALLE DE MEXICO  UNIDAD SALTILLO,12,1,54.982,2015
COLIMA,UNIVERSIDAD AUTONOMA DE COLIMA,216,52,59.074,2015
CIUDAD DE MEXICO,ESCUELA LIBRE DE HOMEOPATIA DE MEXICO,12,1,54.463,2015
CIUDAD DE MEXICO,ESCUELA MEDICO MILITAR SEDENA,0,0,0,2015
CIUDAD DE MEXICO,ESCUELA MEDICO NAVAL SECRETARIA DE MARINA ARMADA DE MEXICO,1,0,56.222,2015
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL CENTRO INTERDISCIPLINARIO DE CIENCIAS DE LA SALUD,359,41,56.365,2015
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA SUPERIOR DE MEDICINA,1098,256,60.667,2015
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA NACIONAL DE MEDICINA Y HOMEOPATIA,695,77,56.688,2015
CIUDAD DE MEXICO,UNAM FES ZARAGOZA,442,90,59.199,2015
CIUDAD DE MEXICO,UNAM FM CU,1957,622,64.258,2015
